gunluk vaka sayi;gunluk test sayi;gunluk iylesen sayi;Toplam asi;Gunluk Asi;Toplam vaka;gunluk olum ;Toplam olum
13,029;228,192;35,167;25348875;170201;5072462;232;43821
14,497;226,452;22,253;25178674;160596;5059433;278;43589
13,604;213,863;26,953;25018078;99305;5044936;282;43311
15,191;197,468;25,694;24918773;65420;5031332;283;43029
18,052;228,873;28,896;24853353;162309;5016141;281;42746
20,107;251,194;35,529;24691044;223325;4998089;278;42465
22,388;253,382;37,298;24467719;363836;4977982;304;42187
26,476;229,491;35,464;24103883;374770;4955594;356;41883
28,997;241,747;38,218;23729113;434636;4929118;336;41527
24,733;243,648;35,438;23294477;287743;4900121;347;41191
25,98;240,145;75,182;23006734;107688;4875388;340;40844
28,817;242,194;81,302;22899046;82155;4849408;373;40504
31,891;265,287;68,183;22816891;248719;4820591;394;40131
37,674;278,108;43,253;22568172;435369;4788700;339;39737
40,444;283,261;45,198;22132803;454342;4751026;341;39398
43,301;282,192;45,592;21678461;283676;4710582;346;39057
37,312;268,893;48,027;21394785;263822;4667281;353;38711
38,553;260,28;51,236;21130963;62560;4629969;347;38358
40,596;281,183;52,297;21068403;180976;4591416;339;38011
49,438;302,091;60,176;20887427;158452;4550820;343;37672
54,791;312,109;65,593;20728975;251290;4501382;354;37329
61,967;318,839;52,213;20477685;194458;4446591;362;36975
61,028;322,128;55,592;20283227;207723;4384624;346;36613
55,149;318,869;48,947;20075504;105289;4323596;341;36267
55,802;301,243;43,856;19970215;32856;4268447;318;35926
62,606;319,316;52,184;19937359;125585;4212645;288;35608
63,082;320,078;56,51;19811774;366505;4150039;289;35320
61,4;318,217;54,894;19445269;172594;4086957;297;35031
62,797;310,42;55,413;19272675;209917;4025557;279;34734
59,187;306,563;52,104;19062758;333780;3962760;273;34455
54,562;301,068;41,218;18728978;234182;3903573;243;34182
50,678;294,274;30,194;18494796;49442;3849011;237;33939
52,676;302,735;32,539;18445354;124970;3798333;248;33702
55,791;305,103;35,786;18320384;230601;3745657;253;33454
55,941;304,492;37,914;18089783;384895;3689866;258;33201
54,74;302,108;35,503;17704888;337013;3633925;276;32943
49,584;271,547;28,498;17367875;374301;3579185;211;32667
42,551;245,496;25,627;16993574;310507;3529601;193;32456
41,998;246,21;22,674;16683067;80148;3487050;185;32263
44,756;249,126;23,214;16602919;285749;3445052;186;32078
42,308;248,968;24,419;16317170;168487;3400296;179;31892
40,806;243,738;20,817;16148683;313896;3357988;176;31713
39,302;240,012;19,193;15834787;533325;3317182;152;31537
37,303;235,298;19,925;15301462;352202;3277880;155;31385
32,404;225,511;18,015;14949260;283107;3240577;154;31230
29,058;220,109;17,164;14749260;379883;3208173;153;31076
30,021;223,214;18,892;14652659;161412;3179115;151;30923
29,081;220,985;20,208;14491247;263837;3149094;153;30772
28,731;222,753;19,186;14227410;257543;3120013;157;30619
29,762;221,738;17,761;13969867;380700;3091282;146;30462
26,182;211,848;19,201;13589167;323215;3061520;138;30316
22,216;201,215;19,494;13265952;208230;3035338;117;30178
20,428;189,906;17,615;13057722;27968;3013122;102;30061
21,061;190,129;18,815;13029754;185177;2992694;95;29959
21,03;187,859;18,119;12844577;413095;2971633;87;29864
20,049;184,452;18,615;12431482;289237;2950603;81;29777
18,912;167,526;17,161;12142245;445949;2930554;73;29696
16,749;158,386;17,893;11696296;434684;2911642;71;29623
15,503;151,113;15,893;11261612;269517;2894893;63;29552
13,378;132,425;15,516;10992095;68811;2879390;68;29489
15,082;150,098;15,287;10923284;181007;2866012;65;29421
14,941;148,856;11,18;10742277;239783;2850930;66;29356
14,046;146,386;9,231;10502494;142211;2835989;63;29290
14,556;145,13;9,193;10360283;137289;2821943;67;29227
13,755;140,828;8,639;10222994;221014;2807387;66;29160
13,215;139,429;8,106;10001980;84632;2793632;64;29094
11,187;129,299;7,785;9917348;33741;2780417;65;29030
11,77;138,592;7,291;9883607;127318;2769230;64;28965
